LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
31m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-3   Successfully provisioned volume pvc-c23331aa-9359-477b-959d-e269178e3f1c
31m         Normal    Scheduled               pod/webnote-3                             Successfully assigned dso202-practical-02/webnote-3 to worker-node-1
31m         Normal    Pulled                  pod/webnote-3                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
31m         Normal    Created                 pod/webnote-3                             Container created
31m         Normal    Created                 pod/webnote-3                             Container created
31m         Normal    Pulled                  pod/webnote-3                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
31m         Normal    Started                 pod/webnote-3                             Container started
31m         Normal    Started                 pod/webnote-3                             Container started
30m         Normal    Killing                 pod/webnote-3                             Stopping container nginx
30m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
21m         Normal    Scheduled               pod/webnote-2                             Successfully assigned dso202-practical-02/webnote-2 to worker-node-2
21m         Normal    Created                 pod/webnote-2                             Container created
21m         Normal    Pulled                  pod/webnote-2                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
21m         Normal    Created                 pod/webnote-2                             Container created
21m         Normal    Pulled                  pod/webnote-2                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
21m         Normal    Started                 pod/webnote-2                             Container started
21m         Normal    Started                 pod/webnote-2                             Container started
21m         Normal    Pulled                  pod/webnote-3                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
21m         Normal    Created                 pod/webnote-3                             Container created
21m         Normal    Scheduled               pod/webnote-3                             Successfully assigned dso202-practical-02/webnote-3 to worker-node-1
21m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-3 in StatefulSet webnote successful
21m         Normal    Started                 pod/webnote-3                             Container started
21m         Normal    Pulled                  pod/webnote-3                             Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
21m         Normal    Created                 pod/webnote-3                             Container created
21m         Normal    Started                 pod/webnote-3                             Container started
20m         Normal    Killing                 pod/webnote-3                             Stopping container nginx
20m         Normal    SuccessfulDelete        statefulset/webnote                       Delete Pod webnote-3 in StatefulSet webnote successful
20m         Normal    Killing                 pod/webnote-2                             Stopping container nginx
